transaction_id,date,total_sales,total_expenses,profit,location
0005950,1/16/2022,4527.12,2960.6,1566.52,New York
6274841,3/12/2022,4347.31,2192.4,2154.91,Miami
9033116,8/26/2022,7571.76,1526.05,6045.71,Los Angeles
3381591,9/8/2022,4257.71,1540.44,2717.27,Chicago
0205215,1/8/2022,8971.0,3089.12,5881.88,New York
5127862,8/4/2022,7934.27,2915.59,5018.68,New York
1294453,5/18/2022,4885.71,1315.28,3570.43,Chicago
4113399,11/18/2022,9806.03,3433.29,6372.74,New York
2433462,3/2/2022,1928.32,1427.52,500.8,Chicago
6449853,1/10/2022,1248.91,1615.14,-366.23,New York
0450888,6/5/2022,221.4,4880.14,-4658.74,Los Angeles
3362739,4/9/2022,6021.68,4118.24,1903.44,Chicago
5980019,10/23/2022,1562.91,434.07,1128.84,Chicago
6456956,2/3/2022,7726.26,4842.14,2884.12,Miami
8104614,2/18/2022,543.32,491.42,51.9,New York
4531036,6/7/2022,2951.25,4638.28,-1687.03,Chicago
6564519,12/28/2022,6505.26,3412.7,3092.56,Los Angeles
4556843,7/27/2022,6663.93,870.93,5793.0,New York
9361734,7/21/2022,9539.02,2213.73,7325.29,New York
4469874,4/19/2022,3346.86,2687.94,658.92,Los Angeles
9377665,12/21/2022,3134.77,1008.24,2126.53,New York
1873951,3/15/2022,4798.91,3076.44,1722.47,Los Angeles
1170924,5/18/2022,8252.27,2818.15,5434.12,New York
2698553,12/23/2022,8515.57,3061.66,5453.91,Chicago
3384658,8/7/2022,8647.15,4484.27,4162.88,Los Angeles
7583889,10/17/2022,6912.52,363.37,6549.15,New York
4279099,6/15/2022,3928.19,939.21,2988.98,New York
2157679,3/24/2022,2235.96,2980.69,-744.73,Miami
8346935,6/14/2022,9466.45,84.55,9381.9,Miami
1227105,2/27/2022,2897.32,4235.24,-1337.92,Miami
3139576,10/28/2022,8132.75,515.14,7617.61,Chicago
3285253,10/31/2022,1747.99,4953.88,-3205.89,Los Angeles
6136648,10/18/2022,5122.96,1722.31,3400.65,Miami
7460404,3/15/2022,7857.43,4679.1,3178.33,Miami
8078799,5/26/2022,29.93,1063.77,-1033.84,Los Angeles
4890653,4/3/2022,2024.26,183.67,1840.59,New York
5983004,4/21/2022,7427.93,148.01,7279.92,Los Angeles
